Hidden Layers,Activation Function,Learning Rate,Batch Size,MSE Loss,RMSE,R-Squared
"[64, 32]",ReLU,0.0001,16,0.5170759052038193,0.7190799,0.20876622400496758
"[64, 32]",ReLU,0.0001,32,0.4992043823003769,0.706544,0.23611335742744544
"[64, 32]",ReLU,0.0001,64,0.8169195652008057,0.903836,-0.25005699029916806
"[64, 32]",ReLU,0.0001,128,1.8289464314778645,1.3443028,-1.7653152865311759
"[64, 32]",Tanh,0.01,16,0.6748746648430825,0.8215076,-0.03269873797671763
"[64, 32]",Tanh,0.01,32,0.6942126274108886,0.83319426,-0.06228987223439364
"[64, 32]",Tanh,0.01,64,0.6838407278060913,0.8269466,-0.04641865521226762
"[64, 32]",Tanh,0.01,128,0.643530269463857,0.809656,-0.003117014410584096
"[64, 32]",Tanh,0.001,16,0.3954532198607922,0.6288507,0.39487425326146786
"[64, 32]",Tanh,0.001,32,0.5894208580255509,0.76773745,0.09806342049642236
"[64, 32]",Tanh,0.001,64,0.6458777546882629,0.80366516,0.011672581056073494
"[64, 32]",Tanh,0.001,128,0.6354819933573405,0.8047089,0.009103932283823446
"[64, 32]",Tanh,0.0001,16,0.6504578620195389,0.8065097,0.0046640576616633345
"[64, 32]",Tanh,0.0001,32,0.8772114872932434,0.9365956,-0.3423161549777263
"[64, 32]",Tanh,0.0001,64,4.2836884498596195,2.0697074,-5.554934875781432
"[64, 32]",Tanh,0.0001,128,6.976946989695231,2.6372457,-9.642695933476173
"[64, 32]",Sigmoid,0.01,16,0.4186085365712643,0.64699966,0.35944180055839603
"[64, 32]",Sigmoid,0.01,32,0.446959587931633,0.6685504,0.31605880038433687
"[64, 32]",Sigmoid,0.01,64,0.6290974855422974,0.7931567,0.03734990724417342
"[64, 32]",Sigmoid,0.01,128,0.6436407367388407,0.8097158,-0.0032652045442642663
"[64, 32]",Sigmoid,0.001,16,0.48872680217027664,0.69909,0.252146252453027
"[64, 32]",Sigmoid,0.001,32,0.6211538851261139,0.78813314,0.0495052516610055
"[64, 32]",Sigmoid,0.001,64,0.654995596408844,0.80931795,-0.002279610214909633
"[64, 32]",Sigmoid,0.001,128,0.6979327996571859,0.8413263,-0.08312709377528393
"[64, 32]",Sigmoid,0.0001,16,1.0423607736825944,1.0209607,-0.5950289564342885
"[64, 32]",Sigmoid,0.0001,32,2.5964282512664796,1.6113436,-2.973075720110686
"[64, 32]",Sigmoid,0.0001,64,14.994281387329101,3.8722448,-21.944371469814705
"[64, 32]",Sigmoid,0.0001,128,18.245148340861004,4.2674904,-26.86734396907516
"[64, 32, 16]",ReLU,0.01,16,0.5258294433355332,0.725141,0.19537149400436615
"[64, 32, 16]",ReLU,0.01,32,0.4237851738929749,0.6509878,0.35152046014199556
"[64, 32, 16]",ReLU,0.01,64,0.5109153628349304,0.7147835,0.21819315445748755
"[64, 32, 16]",ReLU,0.01,128,0.4521070222059886,0.68103266,0.29028102605631645
"[64, 32, 16]",ReLU,0.001,16,0.4357697620987892,0.6601286,0.33318155855836196
"[64, 32, 16]",ReLU,0.001,32,0.45494315326213836,0.67449474,0.30384226253196567
"[64, 32, 16]",ReLU,0.001,64,0.4667056560516357,0.68315864,0.2858431622457228
"[64, 32, 16]",ReLU,0.001,128,0.47640107075373334,0.69863325,0.253123077751898
"[64, 32, 16]",ReLU,0.0001,16,0.5033128470182419,0.7094455,0.2298265798463337
"[64, 32, 16]",ReLU,0.0001,32,0.5163930863142013,0.7186049,0.2098110782099385
"[64, 32, 16]",ReLU,0.0001,64,0.5886469185352325,0.76723325,0.09924770486376866
"[64, 32, 16]",ReLU,0.0001,128,5.32020378112793,2.3139791,-7.193499396411443
"[64, 32, 16]",Tanh,0.01,16,0.6535931169986725,0.80845106,-0.00013351281063633813
"[64, 32, 16]",Tanh,0.01,32,0.6548827290534973,0.80924827,-0.0021069162313913647
"[64, 32, 16]",Tanh,0.01,64,0.6542023777961731,0.80882776,-0.0010657961753253176
"[64, 32, 16]",Tanh,0.01,128,0.6481802662213644,0.8122809,-0.009631761194359267
"[64, 32, 16]",Tanh,0.001,16,0.4582849457859993,0.67696744,0.29872863106871683
"[64, 32, 16]",Tanh,0.001,32,0.6564432263374329,0.81021184,-0.004494774937181312
"[64, 32, 16]",Tanh,0.001,64,0.657645320892334,0.8109534,-0.006334262291154191
"[64, 32, 16]",Tanh,0.001,128,0.7216729521751404,0.8549867,-0.11858581031519821
"[64, 32, 16]",Tanh,0.0001,16,0.933288323879242,0.9660685,-0.42812540843718283
"[64, 32, 16]",Tanh,0.0001,32,3.8774588108062744,1.9691263,-4.933319150362906
"[64, 32, 16]",Tanh,0.0001,64,8.705527114868165,2.9505131,-12.321268737839484
"[64, 32, 16]",Tanh,0.0001,128,14.958815892537435,3.8630714,-21.8357886665651
"[64, 32, 16]",Sigmoid,0.01,16,0.6300755918025971,0.793773,0.035853190476758834
"[64, 32, 16]",Sigmoid,0.01,32,0.6535608321428299,0.8084311,-8.413475403390436e-05
"[64, 32, 16]",Sigmoid,0.01,64,0.6563670396804809,0.81016487,-0.004378235819698428
"[64, 32, 16]",Sigmoid,0.01,128,0.6449758013089498,0.81045854,-0.005106489207615805
"[64, 32, 16]",Sigmoid,0.001,16,0.6566860750317574,0.8103617,-0.0048664043506578825
"[64, 32, 16]",Sigmoid,0.001,32,0.6575350970029831,0.81088537,-0.006165548459635906
"[64, 32, 16]",Sigmoid,0.001,64,0.8061874747276306,0.8978794,-0.23363463229677994
"[64, 32, 16]",Sigmoid,0.001,128,4.153838157653809,2.0359173,-5.342650690085153
"[64, 32, 16]",Sigmoid,0.0001,16,5.590637350082398,2.3644528,-7.554838969351872
"[64, 32, 16]",Sigmoid,0.0001,32,17.50903491973877,4.18438,-25.79246840498704
"[64, 32, 16]",Sigmoid,0.0001,64,20.986927795410157,4.581149,-31.114367662898246
"[64, 32, 16]",Sigmoid,0.0001,128,31.138509114583332,5.5756497,-46.57091740589021
